Ministry_name-Portefeuilleministériel_nom,Other-than-budgetary-expenditures_Autres-que-depenses-budgetaires,EntityDept_name_Eng-EntitéMin_nom_ang,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_code_PROG,ProgramorCoreResponsibility_name-ProgrammeouResponsabilitéessentielle_nom_PROG,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_description_PROG,ProgramInventory-Répertoiredesprogrammes_code_PROG,ProgramInventory_name-Répertoiredesprogrammes_nom_PROG,ProgramInventory-Répertoiredesprogrammes_description_PROG,Notes,Department_specific-Particulier_au_ministère
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","Agriculture and Agri-Food Canada provides programs and services and works in collaboration with the sector to support its competitiveness at home and abroad.  Agriculture and Agri-Food Canada also works to increase opportunities for the sector to export its products by maintaining and expanding market access and advancing agricultural interests internationally.","BWN01","Trade and Market Expansion","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","Agriculture and Agri-Food Canada provides programs and services and works in collaboration with the sector to support its competitiveness at home and abroad.  Agriculture and Agri-Food Canada also works to increase opportunities for the sector to export its products by maintaining and expanding market access and advancing agricultural interests internationally.","BWN02","Sector Engagement and Development","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","Agriculture and Agri-Food Canada provides programs and services and works in collaboration with the sector to support its competitiveness at home and abroad.  Agriculture and Agri-Food Canada also works to increase opportunities for the sector to export its products by maintaining and expanding market access and advancing agricultural interests internationally.","BWN03","Farm Products Council of Canada","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","Agriculture and Agri-Food Canada provides programs and services and works in collaboration with the sector to support its competitiveness at home and abroad.  Agriculture and Agri-Food Canada also works to increase opportunities for the sector to export its products by maintaining and expanding market access and advancing agricultural interests internationally.","BWN04","Dairy Programs","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","Agriculture and Agri-Food Canada provides programs and services and works in collaboration with the sector to support its competitiveness at home and abroad.  Agriculture and Agri-Food Canada also works to increase opportunities for the sector to export its products by maintaining and expanding market access and advancing agricultural interests internationally.","BWN05","Canadian Pari-Mutuel Agency","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","Agriculture and Agri-Food Canada provides programs and services and works in collaboration with the sector to support its competitiveness at home and abroad.  Agriculture and Agri-Food Canada also works to increase opportunities for the sector to export its products by maintaining and expanding market access and advancing agricultural interests internationally.","BWN06","Water Infrastructure","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","Agriculture and Agri-Food Canada provides programs and services and works in collaboration with the sector to support its competitiveness at home and abroad.  Agriculture and Agri-Food Canada also works to increase opportunities for the sector to export its products by maintaining and expanding market access and advancing agricultural interests internationally.","BWN07","Federal, Provincial and Territorial Cost-shared Markets and Trade","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","Agriculture and Agri-Food Canada provides programs and services and works in collaboration with the sector to support its competitiveness at home and abroad.  Agriculture and Agri-Food Canada also works to increase opportunities for the sector to export its products by maintaining and expanding market access and advancing agricultural interests internationally.","BWN08","Community Pastures","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWO00","Science and Innovation","Agriculture and Agri-Food Canada conducts scientific research, develops new knowledge and new technologies, and transfers the results to the agriculture and agri-food sector.  Agriculture and Agri-Food Canada also works with industry and other partners to strengthen the sector’s capacity to develop and adopt innovative practices, products and processes. ","BWO01","Foundational Science and Research","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWO00","Science and Innovation","Agriculture and Agri-Food Canada conducts scientific research, develops new knowledge and new technologies, and transfers the results to the agriculture and agri-food sector.  Agriculture and Agri-Food Canada also works with industry and other partners to strengthen the sector’s capacity to develop and adopt innovative practices, products and processes. ","BWO02","AgriScience","","","001 - Agriculture and Agri-Food (Department of)"
