Ministry_name-Portefeuilleministériel_nom,Other-than-budgetary-expenditures_Autres-que-depenses-budgetaires,EntityDept_name_fra-EntitéMin_nom_fra,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_code_PROG,ProgramorCoreResponsibility_name-ProgrammeouResponsabilitéessentielle_nom_PROG,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_description_PROG,ProgramInventory-Répertoiredesprogrammes_code_PROG,ProgramInventory_name-Répertoiredesprogrammes_nom_PROG,ProgramInventory-Répertoiredesprogrammes_description_PROG,Notes,Department_specific-Particulier_au_ministère
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","","BWN01","Croissance du commerce et des marchés","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","","BWN02","Mobilisation et développement du secteur","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","","BWN03","Conseil des produits agricoles du Canada","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","","BWN04","Initiatives de gestion de l'offre","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","","BWN05","Agence canadienne du pari mutuel","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","","BWN07","Programmes à frais partagés fédéral, provinciaux et territoriaux reliés aux marchés et au commerce","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","","BWN09","Initiatives relatives à la politique alimentaire","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","","BWN10","Cession des infrastructures hydrauliques","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWO00","Science et innovation","","BWO01","Science et recherche fondamentales","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWO00","Science et innovation","","BWO02","Agri-science","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWO00","Science et innovation","","BWO03","Agri-innover","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWO00","Science et innovation","","BWO04","Programmes en matière d'environnement et de changements climatiques","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWO00","Science et innovation","","BWO05","Programme canadien des priorités stratégiques de l'agriculture","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWO00","Science et innovation","","BWO06","Programmes à frais partagés fédéral, provinciaux et territoriaux reliés à la science, à la recherche, à l'innovation et à l'environnement","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","","BWP01","Agri-stabilité","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","","BWP02","Agri-investissement","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWP00","Risques du secteur","","BWP03","Agri-relance","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
