Ministry_name-Portefeuilleministériel_nom,Other-than-budgetary-expenditures_Autres-que-depenses-budgetaires,EntityDept_name_Eng-EntitéMin_nom_ang,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_code_PROG,ProgramorCoreResponsibility_name-ProgrammeouResponsabilitéessentielle_nom_PROG,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_description_PROG,ProgramInventory-Répertoiredesprogrammes_code_PROG,ProgramInventory_name-Répertoiredesprogrammes_nom_PROG,ProgramInventory-Répertoiredesprogrammes_description_PROG,Notes,Department_specific-Particulier_au_ministère
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","","BWN01","Trade and Market Expansion","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","","BWN02","Sector Engagement and Development","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","","BWN03","Farm Products Council of Canada","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","","BWN04","Supply Management Initiatives","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","","BWN05","Canadian Pari-Mutuel Agency","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","","BWN07","Federal, Provincial and Territorial Cost-shared Markets and Trade","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","","BWN09","Food Policy Initiatives","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWN00","Domestic and International Markets","","BWN10","Water Infrastructure Divesture","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWO00","Science and Innovation","","BWO01","Foundational Science and Research","","","001 - Agriculture and Agri-Food (Department of)"
"Agriculture and Agri-Food",,"Agriculture and Agri-Food (Department of)","BWO00","Science and Innovation","","BWO02","AgriScience","","","001 - Agriculture and Agri-Food (Department of)"
