fiscal_yr;org_id;service_id;channel;volume_meeting_target;total_volume;volume_not_meeting_target
2018-2019;137;254;ONL;121.0;132.0;11.0
2018-2019;137;255;ONL;27.0;28.0;1.0
2018-2019;137;261;PERSON;0.0;0.0;0.0
2018-2019;137;262;ONL;804.0;969.0;165.0
2018-2019;137;263;OTH;326.0;399.0;73.0
2018-2019;137;263;TEL;86.0;110.0;24.0
2018-2019;137;265;OTH;91.0;91.0;0.0
2018-2019;137;267;ONL;140.0;144.0;4.0
2018-2019;137;687;ONL;0.0;0.0;0.0
2018-2019;137;688;ONL;7519.0;7628.0;109.0
2018-2019;137;689;ONL;66856.0;68220.0;1364.0
2018-2019;137;950;ONL;0.0;1771.0;1771.0
2018-2019;137;950;OTH;0.0;425.0;425.0
2018-2019;137;950;PERSON;0.0;386.0;386.0
2018-2019;137;950;TEL;0.0;82.0;82.0
2018-2019;137;962;ONL;100.0;158.0;58.0
2018-2019;137;965;ONL;0.0;0.0;0.0
2018-2019;137;977;ONL;0.0;0.0;0.0
2018-2019;137;977;OTH;0.0;0.0;0.0
2018-2019;137;979;ONL;542.0;571.0;29.0
2018-2019;137;980;ONL;736.0;1084.0;348.0
2018-2019;137;985;OTH;8.0;9.0;1.0
2018-2019;137;986;OTH;3897.0;4382.0;485.0
2018-2019;137;987;ONL;2884.0;2953.0;69.0
2018-2019;137;988;ONL;203.0;207.0;4.0
2018-2019;138;1535;OTH;3.0;3.0;0.0
2018-2019;138;1536;OTH;197.0;208.0;11.0
2018-2019;138;1537;OTH;120.0;126.0;6.0
2018-2019;138;1538;OTH;0.0;0.0;0.0
2018-2019;138;1539;OTH;0.0;0.0;0.0
2018-2019;138;1540;OTH;0.0;0.0;0.0
2018-2019;138;1541;OTH;29.0;35.0;6.0
2018-2019;138;1542;OTH;9.0;11.0;2.0
2018-2019;138;1543;OTH;230.0;239.0;9.0
2018-2019;138;1564;OTH;256.0;260.0;4.0
2018-2019;138;1579;OTH;9.0;9.0;0.0
2018-2019;138;1581;OTH;197.0;199.0;2.0
2018-2019;138;1584;OTH;184.0;190.0;6.0
2018-2019;138;1585;OTH;107946.0;107946.0;0.0
2018-2019;138;1586;OTH;12.0;12.0;0.0
2018-2019;138;1587;OTH;4100.0;4100.0;0.0
2018-2019;138;1589;OTH;2.0;2.0;0.0
2018-2019;138;1590;OTH;1.0;1.0;0.0
2018-2019;138;1591;OTH;1.0;1.0;0.0
2018-2019;138;1592;OTH;3.0;3.0;0.0
2018-2019;138;1593;OTH;5.0;5.0;0.0
2018-2019;138;1594;OTH;5.0;7.0;2.0
2018-2019;138;1595;OTH;9.0;11.0;2.0
2018-2019;138;1596;OTH;11.0;12.0;1.0
2018-2019;138;1612;OTH;0.0;0.0;0.0
2018-2019;138;1614;OTH;0.0;0.0;0.0
2018-2019;138;1616;OTH;31.0;42.0;11.0
2018-2019;138;1620;OTH;0.0;0.0;0.0
2018-2019;138;1621;OTH;7.0;7.0;0.0
2018-2019;138;1622;OTH;0.0;0.0;0.0
2018-2019;138;1623;OTH;5.0;5.0;0.0
2018-2019;138;1624;OTH;66.0;66.0;0.0
2018-2019;138;1629;OTH;0.0;5494.0;5494.0
2018-2019;138;1631;OTH;10.0;10.0;0.0
2018-2019;138;1632;OTH;15.0;15.0;0.0
2018-2019;138;1634;OTH;16.0;17.0;1.0
2018-2019;138;1635;OTH;1.0;1.0;0.0
2018-2019;138;1636;OTH;2.0;2.0;0.0
2018-2019;138;1637;OTH;475.0;848.0;373.0
2018-2019;138;1638;OTH;940.0;2488.0;1548.0
2018-2019;138;1646;OTH;34317.0;46269.0;11952.0
2018-2019;138;1648;OTH;0.0;29049.0;29049.0
2018-2019;138;1649;OTH;13.0;4333.0;4320.0
2018-2019;138;1650;OTH;0.0;188.0;188.0
2018-2019;138;1655;OTH;91.0;805.0;714.0
2018-2019;138;1659;OTH;934.0;14932.0;13998.0
2018-2019;138;1660;OTH;0.0;2405.0;2405.0
2018-2019;138;1664;OTH;1195.0;1452.0;257.0
2018-2019;139;1257;OTH;15737.0;41782.0;26045.0
2018-2019;139;1264;OTH;1292.0;1458.0;166.0
2018-2019;139;1269;OTH;492.0;558.0;66.0
2018-2019;139;1270;OTH;12253.0;12253.0;0.0
2018-2019;139;1271;OTH;42120.0;42120.0;0.0
2018-2019;139;1273;OTH;156.0;183.0;27.0
2018-2019;139;1277;OTH;394.0;405.0;11.0
2018-2019;139;1278;OTH;3289.0;3550.0;261.0
2018-2019;139;1279;OTH;17638.0;17673.0;35.0
2018-2019;139;1280;OTH;209.0;263.0;54.0
2018-2019;139;1281;OTH;1446.0;1546.0;100.0
2018-2019;139;1419;OTH;4935.0;7052.0;2117.0
2018-2019;139;1561;OTH;1212.0;1932.0;720.0
2018-2019;139;1707;OTH;1172.0;1271.0;99.0
2018-2019;139;1973;OTH;434.0;435.0;1.0
2018-2019;140;21;ONL;1060.0;1078.0;18.0
2018-2019;140;21;OTH;1748.0;1826.0;78.0
2018-2019;140;22;OTH;173.0;182.0;9.0
2018-2019;140;57;OTH;10.0;22.0;12.0
